,sellerid,eventid,salesid,buyerid,dateid,qtysold,pricepaid,commission,numtickets,priceperticket
9249,19857,6571,76419,7971,1981,1,233.0,34.95,9,233.0
9250,13346,5991,139864,924,1981,1,266.0,39.9,9,266.0
9251,47506,6689,28173,4119,1981,1,329.0,49.35,9,329.0
9252,36240,4487,79184,10174,1981,1,349.0,52.35,9,349.0
9253,17235,7560,154174,29789,1981,1,360.0,54.0,9,360.0
9254,10559,1667,62096,1598,1981,1,390.0,58.5,9,390.0
9255,34170,535,115843,14035,1981,1,411.0,61.65,9,411.0
9256,34231,7250,86038,6499,1981,1,448.0,67.2,9,448.0
9257,41246,6744,37402,42662,1982,1,31.0,4.65,9,31.0
9258,21866,8189,15726,39,1982,1,41.0,6.15,9,41.0
9259,17571,2855,84888,34928,1982,1,98.0,14.7,9,98.0
9260,43638,2073,131570,10941,1982,1,116.0,17.4,9,116.0
9261,25412,4456,82232,24749,1982,1,160.0,24.0,9,160.0
9262,33725,8087,48309,29194,1982,1,180.0,27.0,9,180.0
9263,30678,5898,123631,40593,1982,1,181.0,27.15,9,181.0
9264,7127,2661,102982,13553,1982,1,221.0,33.15,9,221.0
9265,4043,1065,151751,24072,1982,1,325.0,48.75,9,325.0
9266,8501,3108,70830,2161,1982,1,360.0,54.0,9,360.0
9267,45846,6214,64900,9359,1982,1,405.0,60.75,9,405.0
9268,33251,1431,90157,4060,1982,1,456.0,68.4,9,456.0
9269,37543,4214,64303,22594,1982,1,494.0,74.1,9,494.0
9270,7203,3727,3700,14727,1983,1,25.0,3.75,9,25.0
9271,22328,252,91253,48920,1983,1,57.0,8.55,9,57.0
9272,31446,2395,9760,38810,1983,1,110.0,16.5,9,110.0
9273,38641,4810,156587,28519,1983,1,114.0,17.1,9,114.0
9274,5093,1461,100440,40474,1983,1,117.0,17.55,9,117.0
9275,5758,3213,42076,13903,1983,1,161.0,24.15,9,161.0
9276,46063,6913,85702,24729,1983,1,456.0,68.4,9,456.0
9277,26907,3269,22334,15985,1984,1,64.0,9.6,9,64.0
9278,5773,6445,148961,2754,1984,1,116.0,17.4,9,116.0
9279,23664,7365,152045,26051,1984,1,145.0,21.75,9,145.0
9280,23657,6064,138281,12395,1984,1,188.0,28.2,9,188.0
9281,24136,2548,11095,27807,1984,1,196.0,29.4,9,196.0
9282,13400,7957,49073,6904,1984,1,302.0,45.3,9,302.0
9283,13840,6599,83209,45468,1984,1,305.0,45.75,9,305.0
9284,10095,6523,117008,6321,1984,1,332.0,49.8,9,332.0
9285,15113,8516,55567,5878,1984,1,335.0,50.25,9,335.0
9286,12398,768,133047,8987,1984,1,345.0,51.75,9,345.0
9287,30893,7619,74792,4506,1984,1,394.0,59.1,9,394.0
9288,46361,2454,60226,15424,1984,1,404.0,60.6,9,404.0
9289,1002,2349,70994,3523,1984,1,490.0,73.5,9,490.0
9290,24504,6214,10279,5216,1985,1,21.0,3.15,9,21.0
9291,11735,6067,148839,12847,1985,1,33.0,4.95,9,33.0
9292,11453,7388,71839,8487,1985,1,56.0,8.4,9,56.0
9293,11921,4940,2645,41542,1985,1,69.0,10.35,9,69.0
9294,46673,1321,52034,8477,1985,1,83.0,12.45,9,83.0
9295,33936,5705,72446,15887,1985,1,102.0,15.3,9,102.0
9296,1387,5948,82225,12685,1985,1,157.0,23.55,9,157.0
9297,25406,7252,93969,16142,1985,1,283.0,42.45,9,283.0
9298,45505,2643,58896,18738,1985,1,364.0,54.6,9,364.0
9299,24470,122,91383,3055,1985,1,420.0,63.0,9,420.0
9300,16253,4455,104161,4294,1986,1,39.0,5.85,9,39.0
9301,49925,6615,101113,7447,1986,1,74.0,11.1,9,74.0
9302,22641,243,136443,8861,1986,1,77.0,11.55,9,77.0
9303,33654,3893,87609,22090,1986,1,239.0,35.85,9,239.0
9304,46743,8756,113171,9760,1986,1,278.0,41.7,9,278.0
9305,32179,2779,144678,642,1986,1,294.0,44.1,9,294.0
9306,48826,2675,33796,10083,1986,1,323.0,48.45,9,323.0
9307,28947,1056,121882,12026,1986,1,405.0,60.75,9,405.0
9308,45601,8546,132871,28264,1987,1,33.0,4.95,9,33.0
9309,12958,6814,59219,1769,1987,1,43.0,6.45,9,43.0
9310,31287,7799,155105,37836,1987,1,49.0,7.35,9,49.0
9311,33985,5723,18516,5667,1987,1,172.0,25.8,9,172.0
9312,21932,4880,37572,44044,1987,1,182.0,27.3,9,182.0
9313,3530,2943,1938,14411,1987,1,190.0,28.5,9,190.0
9314,16122,5172,120865,3517,1987,1,210.0,31.5,9,210.0
9315,48771,148,82415,8135,1987,1,227.0,34.05,9,227.0
9316,40925,372,36985,3374,1987,1,231.0,34.65,9,231.0
9317,38923,5862,39264,15706,1987,1,278.0,41.7,9,278.0
9318,84,583,8636,15108,1988,1,54.0,8.1,9,54.0
9319,44511,8647,129154,3059,1988,1,109.0,16.35,9,109.0
9320,34626,4417,52718,27972,1988,1,114.0,17.1,9,114.0
9321,40466,8595,35808,10224,1988,1,132.0,19.8,9,132.0
9322,2143,5519,47690,9471,1988,1,145.0,21.75,9,145.0
9323,36487,6222,44641,22200,1988,1,180.0,27.0,9,180.0
9324,15749,5428,87387,13345,1988,1,187.0,28.05,9,187.0
9325,22679,418,141807,7151,1988,1,193.0,28.95,9,193.0
9326,40121,6171,50108,41311,1988,1,275.0,41.25,9,275.0
9327,32612,8507,148659,23093,1988,1,283.0,42.45,9,283.0
9328,38730,3521,37438,6628,1988,1,289.0,43.35,9,289.0
9329,24047,4276,79134,5631,1988,1,355.0,53.25,9,355.0
9330,9908,1051,107184,4532,1988,1,454.0,68.1,9,454.0
9331,5414,5178,89790,24237,1988,1,471.0,70.65,9,471.0
9332,8847,5045,19861,43546,1989,1,150.0,22.5,9,150.0
9333,19964,8060,82772,2192,1989,1,160.0,24.0,9,160.0
9334,37800,5991,154732,30445,1989,1,270.0,40.5,9,270.0
9335,22923,6326,110258,23876,1989,1,272.0,40.8,9,272.0
9336,19873,3670,30525,5253,1989,1,281.0,42.15,9,281.0
9337,17127,1722,65839,7519,1989,1,362.0,54.3,9,362.0
9338,38776,1312,127429,31812,1989,1,385.0,57.75,9,385.0
9339,14829,2912,72530,5503,1989,1,443.0,66.45,9,443.0
9340,417,6651,4988,17172,1990,1,47.0,7.05,9,47.0
9341,27275,7814,150793,19239,1990,1,53.0,7.95,9,53.0
9342,30866,7562,98,29475,1990,1,81.0,12.15,9,81.0
9343,3528,3892,42549,20707,1990,1,124.0,18.6,9,124.0
9344,944,5958,119951,7289,1990,1,124.0,18.6,9,124.0
9345,29542,7560,33755,15841,1990,1,136.0,20.4,9,136.0
9346,44658,5679,45623,38849,1990,1,158.0,23.7,9,158.0
9347,9661,3335,40225,2012,1990,1,177.0,26.55,9,177.0
9348,4812,6170,87288,5571,1990,1,186.0,27.9,9,186.0
9349,21081,6672,2195,40698,1990,1,202.0,30.3,9,202.0
9350,48741,3521,58327,35037,1990,1,257.0,38.55,9,257.0
9351,44695,2249,49648,13437,1990,1,340.0,51.0,9,340.0
9352,31239,4238,124375,3584,1990,1,434.0,65.1,9,434.0
9353,23239,1332,55808,21723,1990,1,441.0,66.15,9,441.0
9354,38360,4651,17598,11107,1991,1,51.0,7.65,9,51.0
9355,26655,3790,86609,8806,1991,1,81.0,12.15,9,81.0
9356,38718,2592,27290,7230,1991,1,125.0,18.75,9,125.0
9357,48139,6479,67493,245,1991,1,193.0,28.95,9,193.0
9358,31665,8421,26077,8440,1991,1,205.0,30.75,9,205.0
9359,40717,438,40013,21977,1991,1,206.0,30.9,9,206.0
9360,1542,1224,146731,30942,1991,1,222.0,33.3,9,222.0
9361,8053,8044,106170,6819,1991,1,279.0,41.85,9,279.0
9362,3063,4214,60828,9274,1991,1,299.0,44.85,9,299.0
9363,29869,2227,108508,43540,1991,1,489.0,73.35,9,489.0
9364,1750,2536,138144,11094,1992,1,110.0,16.5,9,110.0
9365,36798,2534,26008,17992,1992,1,202.0,30.3,9,202.0
9366,45560,2009,113592,37321,1992,1,218.0,32.7,9,218.0
9367,17342,1722,24185,3816,1992,1,244.0,36.6,9,244.0
9368,7178,1667,77246,12288,1992,1,268.0,40.2,9,268.0
9369,34254,1401,76819,1918,1992,1,402.0,60.3,9,402.0
9370,27715,5135,114101,19680,1993,1,37.0,5.55,9,37.0
9371,15830,1419,121149,4361,1993,1,103.0,15.45,9,103.0
9372,4996,2642,116954,8867,1993,1,232.0,34.8,9,232.0
9373,43281,495,58068,11415,1993,1,260.0,39.0,9,260.0
9374,42445,7455,133146,10699,1993,1,263.0,39.45,9,263.0
9375,45396,8171,32163,7603,1993,1,288.0,43.2,9,288.0
9376,42887,4521,140769,3420,1993,1,331.0,49.65,9,331.0
9377,23453,1325,65955,14217,1993,1,392.0,58.8,9,392.0
9378,27254,3084,101289,38483,1994,1,92.0,13.8,9,92.0
9379,8946,6874,20394,12153,1994,1,161.0,24.15,9,161.0
9380,14454,3655,106564,129,1994,1,226.0,33.9,9,226.0
9381,38159,7053,51018,10803,1994,1,256.0,38.4,9,256.0
9382,49474,3108,77542,3285,1994,1,275.0,41.25,9,275.0
9383,14029,413,150909,1760,1994,1,375.0,56.25,9,375.0
9384,11008,3338,129532,24070,1994,1,436.0,65.4,9,436.0
9385,3694,4123,96052,31227,1995,1,25.0,3.75,9,25.0
9386,27407,3014,107643,16331,1995,1,102.0,15.3,9,102.0
9387,24763,5172,12525,13378,1995,1,175.0,26.25,9,175.0
9388,48627,6651,151852,32272,1995,1,182.0,27.3,9,182.0
9389,2984,2858,10951,31710,1995,1,183.0,27.45,9,183.0
9390,18043,8319,121408,9773,1995,1,309.0,46.35,9,309.0
9391,46220,7904,150658,15900,1995,1,397.0,59.55,9,397.0
9392,32844,2635,56792,23584,1995,1,401.0,60.15,9,401.0
9393,7008,8512,52250,267,1995,1,418.0,62.7,9,418.0
9394,13614,6208,108632,16334,1995,1,440.0,66.0,9,440.0
9395,40483,7391,138640,21461,1996,1,20.0,3.0,9,20.0
9396,17574,1492,135803,4117,1996,1,107.0,16.05,9,107.0
9397,34066,5972,58669,2393,1996,1,268.0,40.2,9,268.0
9398,6292,681,32002,31785,1996,1,283.0,42.45,9,283.0
9399,21668,6468,83762,14239,1996,1,335.0,50.25,9,335.0
9400,44135,1604,93581,29038,1996,1,337.0,50.55,9,337.0
9401,23804,3113,152179,8018,1996,1,339.0,50.85,9,339.0
9402,7374,5801,126469,541,1996,1,348.0,52.2,9,348.0
9403,49091,5019,153017,5843,1996,1,375.0,56.25,9,375.0
9404,39354,1888,99855,652,1996,1,451.0,67.65,9,451.0
9405,40352,2383,113972,42601,1996,1,452.0,67.8,9,452.0
9406,12073,7572,146847,23018,1997,1,37.0,5.55,9,37.0
9407,44732,5046,3568,29549,1997,1,85.0,12.75,9,85.0
9408,15444,3980,16937,12916,1997,1,89.0,13.35,9,89.0
9409,5594,8584,7739,4039,1997,1,179.0,26.85,9,179.0
9410,36153,5559,72557,14801,1997,1,188.0,28.2,9,188.0
9411,30515,1332,86636,15065,1997,1,194.0,29.1,9,194.0
9412,42714,543,82656,28879,1997,1,226.0,33.9,9,226.0
9413,12668,284,53457,5015,1997,1,240.0,36.0,9,240.0
9414,45295,5862,47884,20091,1997,1,325.0,48.75,9,325.0
9415,25625,4713,67571,13218,1997,1,478.0,71.7,9,478.0
9416,1863,8741,144511,7611,1997,1,496.0,74.4,9,496.0
9417,8825,7224,33159,19167,1998,1,30.0,4.5,9,30.0
9418,2624,7123,14858,20139,1998,1,60.0,9.0,9,60.0
9419,22859,2770,46392,17044,1998,1,165.0,24.75,9,165.0
9420,44568,5919,147434,23112,1998,1,194.0,29.1,9,194.0
9421,29177,6338,144193,20010,1998,1,223.0,33.45,9,223.0
9422,21109,2455,91081,22909,1998,1,314.0,47.1,9,314.0
9423,34219,4753,111885,23733,1998,1,334.0,50.1,9,334.0
9424,5175,4095,97422,6558,1998,1,416.0,62.4,9,416.0
9425,42736,3893,147568,9274,1998,1,426.0,63.9,9,426.0
9426,2157,7247,2573,1193,1999,1,28.0,4.2,9,28.0
9427,37024,6048,26181,19271,1999,1,44.0,6.6,9,44.0
9428,48058,7515,155226,7228,1999,1,70.0,10.5,9,70.0
9429,42765,4781,99993,18938,1999,1,79.0,11.85,9,79.0
9430,12255,8647,106750,3953,1999,1,115.0,17.25,9,115.0
9431,44757,4819,25789,2148,1999,1,139.0,20.85,9,139.0
9432,16792,7263,115461,14986,1999,1,165.0,24.75,9,165.0
9433,42407,4861,45150,5637,1999,1,174.0,26.1,9,174.0
9434,41784,3831,96731,6278,1999,1,177.0,26.55,9,177.0
9435,7476,1198,138098,12179,1999,1,180.0,27.0,9,180.0
9436,17363,8407,27496,13986,1999,1,197.0,29.55,9,197.0
9437,20364,5178,58470,16716,1999,1,216.0,32.4,9,216.0
9438,28225,8356,101267,20762,1999,1,239.0,35.85,9,239.0
9439,4284,8624,37429,40226,1999,1,250.0,37.5,9,250.0
9440,8901,328,66097,17314,1999,1,278.0,41.7,9,278.0
9441,34080,2249,35249,10184,1999,1,285.0,42.75,9,285.0
9442,16351,414,117054,10422,1999,1,305.0,45.75,9,305.0
9443,2236,4176,120930,11722,1999,1,372.0,55.8,9,372.0
9444,16035,6948,145797,21033,1999,1,416.0,62.4,9,416.0
9445,3989,7646,137250,28041,1999,1,431.0,64.65,9,431.0
9446,5936,7683,149954,6044,1999,1,477.0,71.55,9,477.0
9447,11278,7134,153163,7408,1999,1,478.0,71.7,9,478.0
9448,6198,933,99033,4286,2000,1,70.0,10.5,9,70.0
9449,11029,810,137028,24921,2000,1,71.0,10.65,9,71.0
9450,8743,492,53983,9713,2000,1,74.0,11.1,9,74.0
9451,25499,1198,41720,38873,2000,1,89.0,13.35,9,89.0
9452,16908,1626,151972,2570,2000,1,111.0,16.65,9,111.0
9453,25593,6618,132220,27065,2000,1,129.0,19.35,9,129.0
9454,26802,4636,48464,26686,2000,1,154.0,23.1,9,154.0
9455,9315,3000,127123,7571,2000,1,175.0,26.25,9,175.0
9456,24066,5498,193,14623,2000,1,180.0,27.0,9,180.0
9457,26312,6222,72640,20249,2000,1,206.0,30.9,9,206.0
9458,452,3334,46038,2585,2000,1,227.0,34.05,9,227.0
9459,20263,2869,155593,6687,2000,1,245.0,36.75,9,245.0
9460,38467,6106,56381,7652,2000,1,294.0,44.1,9,294.0
9461,28812,7904,138253,2135,2000,1,321.0,48.15,9,321.0
9462,18472,8149,31992,26905,2000,1,323.0,48.45,9,323.0
9463,37155,1837,87353,36566,2000,1,422.0,63.3,9,422.0
9464,25385,7448,116287,10900,2000,1,424.0,63.6,9,424.0
9465,5744,5119,58185,22080,2000,1,484.0,72.6,9,484.0
9466,39034,7793,36662,215,2001,1,21.0,3.15,9,21.0
9467,42274,7236,32663,11287,2001,1,27.0,4.05,9,27.0
9468,5058,4417,146236,27921,2001,1,33.0,4.95,9,33.0
9469,3855,5522,93358,13161,2001,1,116.0,17.4,9,116.0
9470,18126,3165,37573,6654,2001,1,165.0,24.75,9,165.0
9471,10195,2239,78608,7508,2001,1,187.0,28.05,9,187.0
9472,20420,4534,38073,11351,2001,1,214.0,32.1,9,214.0
9473,12789,4611,145609,35643,2001,1,234.0,35.1,9,234.0
9474,3156,6797,81585,11071,2001,1,320.0,48.0,9,320.0
9475,36227,3961,152858,6499,2001,1,373.0,55.95,9,373.0
9476,15247,8602,137351,24413,2002,1,54.0,8.1,9,54.0
9477,40224,2869,117719,14847,2002,1,59.0,8.85,9,59.0
9478,44263,1667,114750,37,2002,1,65.0,9.75,9,65.0
9479,37954,6240,139518,619,2002,1,79.0,11.85,9,79.0
9480,6628,5601,121269,9826,2002,1,126.0,18.9,9,126.0
9481,1061,967,47602,5582,2002,1,144.0,21.6,9,144.0
9482,17240,6413,68699,8308,2002,1,175.0,26.25,9,175.0
9483,38685,4461,48869,1773,2002,1,211.0,31.65,9,211.0
9484,16323,5257,71843,24116,2002,1,290.0,43.5,9,290.0
9485,15065,4786,146310,15746,2002,1,309.0,46.35,9,309.0
9486,3719,6002,107034,5632,2002,1,310.0,46.5,9,310.0
9487,20849,2681,56924,28982,2002,1,320.0,48.0,9,320.0
9488,9678,1573,89063,5426,2002,1,409.0,61.35,9,409.0
9489,24735,5781,39963,24496,2003,1,84.0,12.6,9,84.0
9490,37123,5512,99426,14015,2003,1,110.0,16.5,9,110.0
9491,15219,2458,26782,7150,2003,1,125.0,18.75,9,125.0
9492,41081,5178,47203,35125,2003,1,243.0,36.45,9,243.0
9493,39332,3503,45629,27532,2003,1,281.0,42.15,9,281.0
9494,22337,3346,142122,10440,2003,1,358.0,53.7,9,358.0
9495,25033,3829,139826,19368,2003,1,358.0,53.7,9,358.0
9496,35986,2820,76826,39823,2003,1,437.0,65.55,9,437.0
9497,17856,6394,118560,9712,2004,1,20.0,3.0,9,20.0
9498,39669,6541,54359,8725,2004,1,64.0,9.6,9,64.0
9499,30292,2050,7412,30768,2004,1,76.0,11.4,9,76.0
9500,48944,4873,149877,9525,2004,1,215.0,32.25,9,215.0
9501,49665,1854,111283,44987,2004,1,360.0,54.0,9,360.0
9502,32843,7183,125788,2261,2004,1,445.0,66.75,9,445.0
9503,9700,5333,9590,13415,2005,1,40.0,6.0,9,40.0
9504,14833,7505,82662,38744,2005,1,59.0,8.85,9,59.0
9505,2992,3194,154450,3480,2005,1,75.0,11.25,9,75.0
9506,4104,3214,93482,4485,2005,1,76.0,11.4,9,76.0
9507,6878,6345,143253,20010,2005,1,151.0,22.65,9,151.0
9508,28697,175,107465,14256,2005,1,164.0,24.6,9,164.0
9509,46958,4753,97980,20425,2005,1,191.0,28.65,9,191.0
9510,29452,8448,52357,14074,2005,1,226.0,33.9,9,226.0
9511,39064,2081,125451,18517,2005,1,237.0,35.55,9,237.0
9512,1021,3806,65329,6394,2005,1,255.0,38.25,9,255.0
9513,29908,4900,41341,24601,2005,1,321.0,48.15,9,321.0
9514,39553,4578,147010,17332,2005,1,435.0,65.25,9,435.0
9515,9105,593,55007,12213,2005,1,471.0,70.65,9,471.0
9516,35018,5523,113676,39406,2005,1,473.0,70.95,9,473.0
9517,38770,1914,100612,6316,2005,1,499.0,74.85,9,499.0
9518,11331,2496,83070,18773,2006,1,23.0,3.45,9,23.0
9519,37985,6651,154831,39454,2006,1,43.0,6.45,9,43.0
9520,33905,6027,126635,13955,2006,1,163.0,24.45,9,163.0
9521,49720,6667,101360,8630,2006,1,236.0,35.4,9,236.0
9522,25915,6839,28192,9708,2006,1,261.0,39.15,9,261.0
9523,20303,2321,41269,35442,2006,1,294.0,44.1,9,294.0
9524,43016,6723,38657,14316,2006,1,314.0,47.1,9,314.0
9525,41791,4235,133139,9000,2006,1,427.0,64.05,9,427.0
9526,19435,2324,59346,16418,2006,1,458.0,68.7,9,458.0
9527,23154,2616,61071,23746,2007,1,31.0,4.65,9,31.0
9528,34680,135,92956,30825,2007,1,116.0,17.4,9,116.0
9529,42791,2189,115614,44332,2007,1,117.0,17.55,9,117.0
9530,15410,4459,94745,18286,2007,1,122.0,18.3,9,122.0
9531,34620,7756,81145,8035,2007,1,151.0,22.65,9,151.0
9532,22364,2329,18737,27396,2007,1,154.0,23.1,9,154.0
9533,32142,1846,131956,16535,2007,1,171.0,25.65,9,171.0
9534,2965,5389,38929,13521,2007,1,226.0,33.9,9,226.0
9535,35152,6209,47675,275,2007,1,226.0,33.9,9,226.0
9536,2285,6411,34472,20350,2007,1,329.0,49.35,9,329.0
9537,36840,5819,59225,41390,2007,1,387.0,58.05,9,387.0
9538,24605,6563,46503,18220,1917,1,24.0,3.6,10,24.0
9539,44125,7728,65323,7249,1917,1,94.0,14.1,10,94.0
9540,11123,570,136884,12489,1917,1,229.0,34.35,10,229.0
9541,7845,8640,34762,42133,1917,1,257.0,38.55,10,257.0
9542,27013,7131,60463,9625,1917,1,331.0,49.65,10,331.0
9543,37487,7564,125655,30374,1917,1,402.0,60.3,10,402.0
9544,49118,7288,62480,10329,1918,1,108.0,16.2,10,108.0
9545,39236,3324,109255,5515,1918,1,184.0,27.6,10,184.0
9546,34045,5800,133137,19791,1918,1,192.0,28.8,10,192.0
9547,34317,7963,93784,3432,1918,1,201.0,30.15,10,201.0
9548,17794,3656,36128,26069,1918,1,246.0,36.9,10,246.0
9549,8630,1165,44305,27284,1918,1,256.0,38.4,10,256.0
9550,11856,320,109208,116,1918,1,315.0,47.25,10,315.0
9551,284,6791,150408,17862,1918,1,450.0,67.5,10,450.0
9552,28468,5107,57263,25284,1918,1,459.0,68.85,10,459.0
9553,4138,1245,9592,31354,1919,1,44.0,6.6,10,44.0
9554,2061,8124,125760,12458,1919,1,52.0,7.8,10,52.0
9555,11784,5022,142274,30788,1919,1,126.0,18.9,10,126.0
9556,12055,4115,120558,14567,1919,1,177.0,26.55,10,177.0
9557,36143,630,153527,754,1919,1,193.0,28.95,10,193.0
9558,19296,6800,77824,28699,1919,1,198.0,29.7,10,198.0
9559,9888,7394,75983,29466,1919,1,302.0,45.3,10,302.0
9560,41639,5154,101875,5173,1919,1,445.0,66.75,10,445.0
9561,9190,2310,63121,4387,1919,1,468.0,70.2,10,468.0
9562,49570,3196,59323,6140,1919,1,471.0,70.65,10,471.0
9563,35680,1713,112079,33803,1919,1,479.0,71.85,10,479.0
9564,35769,3577,79040,16375,1920,1,52.0,7.8,10,52.0
9565,44559,2677,102375,1530,1920,1,113.0,16.95,10,113.0
9566,38661,5827,141872,21127,1920,1,143.0,21.45,10,143.0
9567,30123,8119,44477,7432,1920,1,148.0,22.2,10,148.0
9568,34169,2229,105561,25746,1920,1,258.0,38.7,10,258.0
9569,13199,4551,116701,25347,1920,1,342.0,51.3,10,342.0
9570,38415,5900,102908,29497,1920,1,359.0,53.85,10,359.0
9571,20615,8352,132161,33133,1921,1,60.0,9.0,10,60.0
9572,49703,3024,62976,2973,1921,1,69.0,10.35,10,69.0
9573,45351,378,147745,8676,1921,1,88.0,13.2,10,88.0
9574,47427,7750,7194,16950,1921,1,104.0,15.6,10,104.0
9575,3577,1273,136430,14679,1921,1,229.0,34.35,10,229.0
9576,17101,5989,23500,4670,1921,1,244.0,36.6,10,244.0
9577,26930,7895,33157,13223,1921,1,295.0,44.25,10,295.0
9578,15420,1665,38082,9084,1921,1,348.0,52.2,10,348.0
9579,15467,2780,56173,4039,1921,1,350.0,52.5,10,350.0
9580,42943,4339,142551,8689,1921,1,395.0,59.25,10,395.0
9581,47602,4920,133405,12248,1921,1,411.0,61.65,10,411.0
9582,49389,7288,148093,7413,1921,1,445.0,66.75,10,445.0
9583,8948,6254,149193,434,1921,1,465.0,69.75,10,465.0
9584,18202,7518,85967,5981,1921,1,474.0,71.1,10,474.0
9585,36600,2335,79282,18895,1922,1,99.0,14.85,10,99.0
9586,27854,2484,48050,2439,1922,1,102.0,15.3,10,102.0
9587,47689,8619,122808,1715,1922,1,102.0,15.3,10,102.0
9588,38907,8666,74279,4728,1922,1,109.0,16.35,10,109.0
9589,19227,622,19416,21065,1922,1,125.0,18.75,10,125.0
9590,39049,2167,10362,15829,1922,1,147.0,22.05,10,147.0
9591,13364,1938,118409,18929,1922,1,165.0,24.75,10,165.0
9592,23110,8562,64846,19716,1922,1,248.0,37.2,10,248.0
9593,29204,6563,123343,47974,1922,1,372.0,55.8,10,372.0
9594,44139,249,61339,25308,1922,1,391.0,58.65,10,391.0
9595,41354,1569,72431,40498,1922,1,394.0,59.1,10,394.0
9596,34161,8456,92049,12706,1922,1,411.0,61.65,10,411.0
9597,37248,4967,115109,23806,1922,1,471.0,70.65,10,471.0
9598,42596,7270,25346,7643,1923,1,40.0,6.0,10,40.0
9599,547,6520,48175,6934,1923,1,63.0,9.45,10,63.0
9600,46340,2405,1769,18429,1923,1,97.0,14.55,10,97.0
9601,46732,5855,54449,27108,1923,1,97.0,14.55,10,97.0
9602,8658,3208,39422,4472,1923,1,196.0,29.4,10,196.0
9603,47383,2677,125067,19900,1923,1,211.0,31.65,10,211.0
9604,11313,2338,101916,21184,1923,1,273.0,40.95,10,273.0
9605,28161,5117,76331,8300,1923,1,294.0,44.1,10,294.0
9606,14364,5041,36044,15496,1923,1,323.0,48.45,10,323.0
9607,33117,6595,37654,24334,1923,1,349.0,52.35,10,349.0
9608,28418,155,137505,26765,1923,1,370.0,55.5,10,370.0
9609,43347,5270,73810,35333,1923,1,382.0,57.3,10,382.0
9610,49744,4672,146448,27423,1923,1,437.0,65.55,10,437.0
9611,47524,2718,25260,6153,1924,1,24.0,3.6,10,24.0
9612,135,5680,81915,24828,1924,1,118.0,17.7,10,118.0
9613,11230,1692,19663,16761,1924,1,138.0,20.7,10,138.0
9614,43873,2462,36603,6628,1924,1,142.0,21.3,10,142.0
9615,24025,1031,148940,8101,1924,1,152.0,22.8,10,152.0
9616,5200,7163,91782,17179,1924,1,153.0,22.95,10,153.0
9617,3601,4816,92816,6253,1924,1,162.0,24.3,10,162.0
9618,45777,6076,30036,10637,1924,1,212.0,31.8,10,212.0
9619,27189,7251,149181,30189,1924,1,215.0,32.25,10,215.0
9620,6122,2159,63907,4121,1924,1,275.0,41.25,10,275.0
9621,32933,3364,106805,13475,1924,1,333.0,49.95,10,333.0
9622,36179,974,67662,16106,1924,1,340.0,51.0,10,340.0
9623,29004,527,73559,21198,1924,1,351.0,52.65,10,351.0
9624,44737,3386,150074,12083,1924,1,360.0,54.0,10,360.0
9625,35551,6983,76431,76,1924,1,369.0,55.35,10,369.0
9626,18849,5264,101950,20189,1924,1,386.0,57.9,10,386.0
9627,19468,6703,66036,15086,1925,1,97.0,14.55,10,97.0
9628,35019,2119,45165,22076,1925,1,111.0,16.65,10,111.0
9629,14730,3782,144265,15631,1925,1,120.0,18.0,10,120.0
9630,32020,290,74953,5715,1925,1,163.0,24.45,10,163.0
9631,30625,7421,10001,27457,1925,1,185.0,27.75,10,185.0
9632,6700,6527,75802,13260,1925,1,205.0,30.75,10,205.0
9633,7642,2974,111648,14216,1925,1,273.0,40.95,10,273.0
9634,44396,8352,42122,11516,1925,1,282.0,42.3,10,282.0
9635,16148,3929,39712,5295,1925,1,295.0,44.25,10,295.0
9636,17939,2427,74768,6342,1925,1,403.0,60.45,10,403.0
9637,28598,4257,58582,1628,1925,1,450.0,67.5,10,450.0
9638,46297,3675,93868,483,1925,1,463.0,69.45,10,463.0
9639,38205,8511,52498,12489,1925,1,476.0,71.4,10,476.0
9640,45228,2173,24066,25563,1926,1,36.0,5.4,10,36.0
9641,25330,906,21108,34082,1926,1,43.0,6.45,10,43.0
9642,21334,3796,105348,17642,1926,1,56.0,8.4,10,56.0
9643,9372,6201,121767,9953,1926,1,151.0,22.65,10,151.0
9644,46017,113,114876,8671,1926,1,259.0,38.85,10,259.0
9645,1464,1740,130803,10338,1926,1,298.0,44.7,10,298.0
9646,18618,6371,140597,6073,1926,1,398.0,59.7,10,398.0
9647,34624,7466,67312,7693,1926,1,432.0,64.8,10,432.0
9648,23615,8734,132830,879,1926,1,459.0,68.85,10,459.0
9649,41524,7967,103633,20938,1926,1,472.0,70.8,10,472.0
9650,35614,7749,65572,32306,1927,1,50.0,7.5,10,50.0
9651,47762,6624,37564,17378,1927,1,111.0,16.65,10,111.0
9652,14287,7869,15556,32835,1927,1,142.0,21.3,10,142.0
9653,19725,7447,18110,15111,1927,1,157.0,23.55,10,157.0
9654,41704,6922,71408,9842,1927,1,164.0,24.6,10,164.0
9655,35454,7743,21846,34231,1927,1,203.0,30.45,10,203.0
9656,1427,7694,51636,3262,1927,1,257.0,38.55,10,257.0
9657,28128,6962,63818,11923,1927,1,351.0,52.65,10,351.0
9658,17640,6389,140231,18917,1927,1,374.0,56.1,10,374.0
9659,26886,2801,128599,26783,1928,1,20.0,3.0,10,20.0
9660,45849,6371,6994,19369,1928,1,65.0,9.75,10,65.0
