,catid,eventid,eventname,catname
1796,6,875,Oliver!,Musicals
1797,6,911,Oliver!,Musicals
1798,6,918,Oliver!,Musicals
1799,6,1032,Oliver!,Musicals
1800,6,1114,Oliver!,Musicals
1801,6,1138,Oliver!,Musicals
1802,6,1200,Oliver!,Musicals
1803,6,1368,Oliver!,Musicals
1804,6,1419,Oliver!,Musicals
1805,6,1460,Oliver!,Musicals
1806,6,1476,Oliver!,Musicals
1807,6,524,Pal Joey,Musicals
1808,6,531,Pal Joey,Musicals
1809,6,613,Pal Joey,Musicals
1810,6,617,Pal Joey,Musicals
1811,6,715,Pal Joey,Musicals
1812,6,718,Pal Joey,Musicals
1813,6,742,Pal Joey,Musicals
1814,6,746,Pal Joey,Musicals
1815,6,760,Pal Joey,Musicals
1816,6,763,Pal Joey,Musicals
1817,6,819,Pal Joey,Musicals
1818,6,927,Pal Joey,Musicals
1819,6,986,Pal Joey,Musicals
1820,6,1003,Pal Joey,Musicals
1821,6,1048,Pal Joey,Musicals
1822,6,1243,Pal Joey,Musicals
1823,6,1349,Pal Joey,Musicals
1824,6,1442,Pal Joey,Musicals
1825,6,1462,Pal Joey,Musicals
1826,6,1504,Phantom of the Opera,Musicals
1827,6,1519,Phantom of the Opera,Musicals
1828,6,1520,Phantom of the Opera,Musicals
1829,6,1535,Phantom of the Opera,Musicals
1830,6,1538,Phantom of the Opera,Musicals
1831,6,1552,Phantom of the Opera,Musicals
1832,6,1558,Phantom of the Opera,Musicals
1833,6,1571,Phantom of the Opera,Musicals
1834,6,1592,Phantom of the Opera,Musicals
1835,6,1602,Phantom of the Opera,Musicals
1836,6,1607,Phantom of the Opera,Musicals
1837,6,1608,Phantom of the Opera,Musicals
1838,6,1622,Phantom of the Opera,Musicals
1839,6,1624,Phantom of the Opera,Musicals
1840,6,1625,Phantom of the Opera,Musicals
1841,6,1638,Phantom of the Opera,Musicals
1842,6,1653,Phantom of the Opera,Musicals
1843,6,1657,Phantom of the Opera,Musicals
1844,6,1671,Phantom of the Opera,Musicals
1845,6,1682,Phantom of the Opera,Musicals
1846,6,1684,Phantom of the Opera,Musicals
1847,6,1698,Phantom of the Opera,Musicals
1848,6,1711,Phantom of the Opera,Musicals
1849,6,1721,Phantom of the Opera,Musicals
1850,6,1748,Phantom of the Opera,Musicals
1851,6,1749,Phantom of the Opera,Musicals
1852,6,1756,Phantom of the Opera,Musicals
1853,6,1789,Phantom of the Opera,Musicals
1854,6,563,Seven Brides for Seven Brothers,Musicals
1855,6,615,Seven Brides for Seven Brothers,Musicals
1856,6,629,Seven Brides for Seven Brothers,Musicals
1857,6,709,Seven Brides for Seven Brothers,Musicals
1858,6,711,Seven Brides for Seven Brothers,Musicals
1859,6,786,Seven Brides for Seven Brothers,Musicals
1860,6,804,Seven Brides for Seven Brothers,Musicals
1861,6,838,Seven Brides for Seven Brothers,Musicals
1862,6,873,Seven Brides for Seven Brothers,Musicals
1863,6,943,Seven Brides for Seven Brothers,Musicals
1864,6,959,Seven Brides for Seven Brothers,Musicals
1865,6,966,Seven Brides for Seven Brothers,Musicals
1866,6,1008,Seven Brides for Seven Brothers,Musicals
1867,6,1035,Seven Brides for Seven Brothers,Musicals
1868,6,1221,Seven Brides for Seven Brothers,Musicals
1869,6,1239,Seven Brides for Seven Brothers,Musicals
1870,6,1245,Seven Brides for Seven Brothers,Musicals
1871,6,1282,Seven Brides for Seven Brothers,Musicals
1872,6,1329,Seven Brides for Seven Brothers,Musicals
1873,6,1396,Seven Brides for Seven Brothers,Musicals
1874,6,1434,Seven Brides for Seven Brothers,Musicals
1875,6,1444,Seven Brides for Seven Brothers,Musicals
1876,6,1456,Seven Brides for Seven Brothers,Musicals
1877,6,1470,Seven Brides for Seven Brothers,Musicals
1878,6,544,Shrek the Musical,Musicals
1879,6,560,Shrek the Musical,Musicals
1880,6,663,Shrek the Musical,Musicals
1881,6,725,Shrek the Musical,Musicals
1882,6,807,Shrek the Musical,Musicals
1883,6,821,Shrek the Musical,Musicals
1884,6,845,Shrek the Musical,Musicals
1885,6,848,Shrek the Musical,Musicals
1886,6,933,Shrek the Musical,Musicals
1887,6,934,Shrek the Musical,Musicals
1888,6,940,Shrek the Musical,Musicals
1889,6,971,Shrek the Musical,Musicals
1890,6,1084,Shrek the Musical,Musicals
1891,6,1132,Shrek the Musical,Musicals
1892,6,1134,Shrek the Musical,Musicals
1893,6,1136,Shrek the Musical,Musicals
1894,6,1155,Shrek the Musical,Musicals
1895,6,1210,Shrek the Musical,Musicals
1896,6,1295,Shrek the Musical,Musicals
1897,6,1341,Shrek the Musical,Musicals
1898,6,1365,Shrek the Musical,Musicals
1899,6,1390,Shrek the Musical,Musicals
1900,6,1421,Shrek the Musical,Musicals
1901,6,1471,Shrek the Musical,Musicals
1902,6,1493,Shrek the Musical,Musicals
1903,6,587,South Pacific,Musicals
1904,6,607,South Pacific,Musicals
1905,6,664,South Pacific,Musicals
1906,6,668,South Pacific,Musicals
1907,6,690,South Pacific,Musicals
1908,6,806,South Pacific,Musicals
1909,6,813,South Pacific,Musicals
1910,6,896,South Pacific,Musicals
1911,6,947,South Pacific,Musicals
1912,6,964,South Pacific,Musicals
1913,6,1051,South Pacific,Musicals
1914,6,1066,South Pacific,Musicals
1915,6,1089,South Pacific,Musicals
1916,6,1142,South Pacific,Musicals
1917,6,1144,South Pacific,Musicals
1918,6,1152,South Pacific,Musicals
1919,6,1166,South Pacific,Musicals
1920,6,1170,South Pacific,Musicals
1921,6,1173,South Pacific,Musicals
1922,6,1178,South Pacific,Musicals
1923,6,1182,South Pacific,Musicals
1924,6,1183,South Pacific,Musicals
1925,6,1186,South Pacific,Musicals
1926,6,1216,South Pacific,Musicals
1927,6,1265,South Pacific,Musicals
1928,6,1331,South Pacific,Musicals
1929,6,1335,South Pacific,Musicals
1930,6,1339,South Pacific,Musicals
1931,6,1344,South Pacific,Musicals
1932,6,1361,South Pacific,Musicals
1933,6,1372,South Pacific,Musicals
1934,6,1377,South Pacific,Musicals
1935,6,1410,South Pacific,Musicals
1936,6,1422,South Pacific,Musicals
1937,6,1457,South Pacific,Musicals
1938,6,1486,South Pacific,Musicals
1939,6,1494,South Pacific,Musicals
1940,6,575,Spamalot,Musicals
1941,6,584,Spamalot,Musicals
1942,6,625,Spamalot,Musicals
1943,6,632,Spamalot,Musicals
1944,6,659,Spamalot,Musicals
1945,6,694,Spamalot,Musicals
1946,6,795,Spamalot,Musicals
1947,6,852,Spamalot,Musicals
1948,6,905,Spamalot,Musicals
1949,6,924,Spamalot,Musicals
1950,6,976,Spamalot,Musicals
1951,6,988,Spamalot,Musicals
1952,6,1009,Spamalot,Musicals
1953,6,1010,Spamalot,Musicals
1954,6,1145,Spamalot,Musicals
1955,6,1150,Spamalot,Musicals
1956,6,1191,Spamalot,Musicals
1957,6,1211,Spamalot,Musicals
1958,6,1234,Spamalot,Musicals
1959,6,1273,Spamalot,Musicals
1960,6,1289,Spamalot,Musicals
1961,6,1311,Spamalot,Musicals
1962,6,1325,Spamalot,Musicals
1963,6,1450,Spamalot,Musicals
1964,6,1452,Spamalot,Musicals
1965,6,1532,Spamalot,Musicals
1966,6,1533,Spamalot,Musicals
1967,6,1544,Spamalot,Musicals
1968,6,1559,Spamalot,Musicals
1969,6,1561,Spamalot,Musicals
1970,6,1598,Spamalot,Musicals
1971,6,1601,Spamalot,Musicals
1972,6,1631,Spamalot,Musicals
1973,6,1647,Spamalot,Musicals
1974,6,1675,Spamalot,Musicals
1975,6,1686,Spamalot,Musicals
1976,6,1688,Spamalot,Musicals
1977,6,1695,Spamalot,Musicals
1978,6,1699,Spamalot,Musicals
1979,6,1706,Spamalot,Musicals
1980,6,1717,Spamalot,Musicals
1981,6,1724,Spamalot,Musicals
1982,6,1736,Spamalot,Musicals
1983,6,1740,Spamalot,Musicals
1984,6,1750,Spamalot,Musicals
1985,6,1751,Spamalot,Musicals
1986,6,1758,Spamalot,Musicals
1987,6,1761,Spamalot,Musicals
1988,6,1766,Spamalot,Musicals
1989,6,1784,Spamalot,Musicals
1990,6,1795,Spamalot,Musicals
1991,6,569,State Fair,Musicals
1992,6,580,State Fair,Musicals
1993,6,642,State Fair,Musicals
1994,6,647,State Fair,Musicals
1995,6,652,State Fair,Musicals
1996,6,723,State Fair,Musicals
1997,6,724,State Fair,Musicals
1998,6,796,State Fair,Musicals
1999,6,844,State Fair,Musicals
2000,6,907,State Fair,Musicals
2001,6,937,State Fair,Musicals
2002,6,946,State Fair,Musicals
2003,6,994,State Fair,Musicals
2004,6,1025,State Fair,Musicals
2005,6,1123,State Fair,Musicals
2006,6,1195,State Fair,Musicals
2007,6,1233,State Fair,Musicals
2008,6,1262,State Fair,Musicals
2009,6,1267,State Fair,Musicals
2010,6,1354,State Fair,Musicals
2011,6,1370,State Fair,Musicals
2012,6,1392,State Fair,Musicals
2013,6,1393,State Fair,Musicals
2014,6,1394,State Fair,Musicals
2015,6,1440,State Fair,Musicals
2016,6,505,The King and I,Musicals
2017,6,534,The King and I,Musicals
2018,6,591,The King and I,Musicals
2019,6,598,The King and I,Musicals
2020,6,679,The King and I,Musicals
2021,6,773,The King and I,Musicals
2022,6,787,The King and I,Musicals
2023,6,792,The King and I,Musicals
2024,6,818,The King and I,Musicals
2025,6,827,The King and I,Musicals
2026,6,884,The King and I,Musicals
2027,6,902,The King and I,Musicals
2028,6,906,The King and I,Musicals
2029,6,908,The King and I,Musicals
2030,6,919,The King and I,Musicals
2031,6,1002,The King and I,Musicals
2032,6,1007,The King and I,Musicals
2033,6,1125,The King and I,Musicals
2034,6,1128,The King and I,Musicals
2035,6,1187,The King and I,Musicals
2036,6,1215,The King and I,Musicals
2037,6,1232,The King and I,Musicals
2038,6,1300,The King and I,Musicals
2039,6,1313,The King and I,Musicals
2040,6,1334,The King and I,Musicals
2041,6,1347,The King and I,Musicals
2042,6,1356,The King and I,Musicals
2043,6,1376,The King and I,Musicals
2044,6,1404,The King and I,Musicals
2045,6,1451,The King and I,Musicals
2046,6,1473,The King and I,Musicals
2047,6,1479,The King and I,Musicals
2048,6,555,The Lion King,Musicals
2049,6,578,The Lion King,Musicals
2050,6,596,The Lion King,Musicals
2051,6,699,The Lion King,Musicals
2052,6,722,The Lion King,Musicals
2053,6,728,The Lion King,Musicals
2054,6,758,The Lion King,Musicals
2055,6,775,The Lion King,Musicals
2056,6,778,The Lion King,Musicals
2057,6,891,The Lion King,Musicals
2058,6,950,The Lion King,Musicals
2059,6,953,The Lion King,Musicals
2060,6,963,The Lion King,Musicals
2061,6,1030,The Lion King,Musicals
2062,6,1046,The Lion King,Musicals
2063,6,1063,The Lion King,Musicals
2064,6,1154,The Lion King,Musicals
2065,6,1249,The Lion King,Musicals
2066,6,1288,The Lion King,Musicals
2067,6,1359,The Lion King,Musicals
2068,6,1385,The Lion King,Musicals
2069,6,1398,The Lion King,Musicals
2070,6,1406,The Lion King,Musicals
2071,6,1435,The Lion King,Musicals
2072,6,501,The Little Mermaid,Musicals
2073,6,547,The Little Mermaid,Musicals
2074,6,685,The Little Mermaid,Musicals
2075,6,766,The Little Mermaid,Musicals
2076,6,798,The Little Mermaid,Musicals
2077,6,840,The Little Mermaid,Musicals
2078,6,888,The Little Mermaid,Musicals
2079,6,893,The Little Mermaid,Musicals
2080,6,970,The Little Mermaid,Musicals
2081,6,1054,The Little Mermaid,Musicals
2082,6,1080,The Little Mermaid,Musicals
2083,6,1147,The Little Mermaid,Musicals
2084,6,1168,The Little Mermaid,Musicals
2085,6,1176,The Little Mermaid,Musicals
2086,6,1229,The Little Mermaid,Musicals
2087,6,1279,The Little Mermaid,Musicals
2088,6,1308,The Little Mermaid,Musicals
2089,6,1381,The Little Mermaid,Musicals
2090,6,1391,The Little Mermaid,Musicals
2091,6,1415,The Little Mermaid,Musicals
2092,6,1464,The Little Mermaid,Musicals
2093,6,577,The Phantom of the Opera,Musicals
2094,6,579,The Phantom of the Opera,Musicals
2095,6,594,The Phantom of the Opera,Musicals
2096,6,611,The Phantom of the Opera,Musicals
2097,6,614,The Phantom of the Opera,Musicals
2098,6,624,The Phantom of the Opera,Musicals
2099,6,653,The Phantom of the Opera,Musicals
2100,6,666,The Phantom of the Opera,Musicals
2101,6,823,The Phantom of the Opera,Musicals
2102,6,887,The Phantom of the Opera,Musicals
2103,6,945,The Phantom of the Opera,Musicals
2104,6,991,The Phantom of the Opera,Musicals
2105,6,1198,The Phantom of the Opera,Musicals
2106,6,1199,The Phantom of the Opera,Musicals
2107,6,1304,The Phantom of the Opera,Musicals
2108,6,1371,The Phantom of the Opera,Musicals
2109,6,1374,The Phantom of the Opera,Musicals
2110,6,1411,The Phantom of the Opera,Musicals
2111,6,1418,The Phantom of the Opera,Musicals
2112,6,1436,The Phantom of the Opera,Musicals
2113,6,1468,The Phantom of the Opera,Musicals
2114,6,1500,The Phantom of the Opera,Musicals
2115,6,509,West Side Story,Musicals
2116,6,557,West Side Story,Musicals
2117,6,571,West Side Story,Musicals
2118,6,572,West Side Story,Musicals
2119,6,638,West Side Story,Musicals
2120,6,701,West Side Story,Musicals
2121,6,732,West Side Story,Musicals
2122,6,767,West Side Story,Musicals
2123,6,794,West Side Story,Musicals
2124,6,820,West Side Story,Musicals
2125,6,864,West Side Story,Musicals
2126,6,898,West Side Story,Musicals
2127,6,901,West Side Story,Musicals
2128,6,938,West Side Story,Musicals
2129,6,989,West Side Story,Musicals
2130,6,1031,West Side Story,Musicals
2131,6,1070,West Side Story,Musicals
2132,6,1120,West Side Story,Musicals
2133,6,1205,West Side Story,Musicals
2134,6,1240,West Side Story,Musicals
2135,6,1247,West Side Story,Musicals
2136,6,1280,West Side Story,Musicals
2137,6,1301,West Side Story,Musicals
2138,6,1443,West Side Story,Musicals
2139,6,1496,West Side Story,Musicals
2140,6,1042,White Christmas,Musicals
2141,6,1509,Zumanity,Musicals
2142,6,1518,Zumanity,Musicals
2143,6,1534,Zumanity,Musicals
2144,6,1563,Zumanity,Musicals
2145,6,1573,Zumanity,Musicals
2146,6,1575,Zumanity,Musicals
2147,6,1616,Zumanity,Musicals
2148,6,1623,Zumanity,Musicals
2149,6,1643,Zumanity,Musicals
2150,6,1648,Zumanity,Musicals
2151,6,1651,Zumanity,Musicals
2152,6,1663,Zumanity,Musicals
2153,6,1677,Zumanity,Musicals
2154,6,1709,Zumanity,Musicals
2155,6,1730,Zumanity,Musicals
2156,6,1741,Zumanity,Musicals
2157,6,1754,Zumanity,Musicals
2158,6,1777,Zumanity,Musicals
2159,7,1823,A Bronx Tale,Plays
2160,7,1888,A Bronx Tale,Plays
2161,7,1959,A Bronx Tale,Plays
2162,7,1993,A Bronx Tale,Plays
2163,7,2005,A Bronx Tale,Plays
2164,7,2027,A Bronx Tale,Plays
2165,7,2038,A Bronx Tale,Plays
2166,7,2041,A Bronx Tale,Plays
2167,7,2198,A Bronx Tale,Plays
2168,7,2204,A Bronx Tale,Plays
2169,7,2224,A Bronx Tale,Plays
2170,7,2262,A Bronx Tale,Plays
2171,7,2264,A Bronx Tale,Plays
2172,7,2275,A Bronx Tale,Plays
2173,7,2303,A Bronx Tale,Plays
2174,7,2585,A Bronx Tale,Plays
2175,7,2629,A Bronx Tale,Plays
2176,7,2662,A Bronx Tale,Plays
2177,7,2683,A Bronx Tale,Plays
2178,7,2692,A Bronx Tale,Plays
2179,7,2733,A Bronx Tale,Plays
2180,7,2751,A Bronx Tale,Plays
2181,7,2788,A Bronx Tale,Plays
2182,7,3138,A Bronx Tale,Plays
2183,7,3147,A Bronx Tale,Plays
2184,7,3185,A Bronx Tale,Plays
2185,7,3220,A Bronx Tale,Plays
2186,7,3298,A Bronx Tale,Plays
2187,7,3357,A Bronx Tale,Plays
2188,7,3597,A Bronx Tale,Plays
2189,7,3630,A Bronx Tale,Plays
2190,7,3761,A Bronx Tale,Plays
2191,7,2375,A Christmas Carol,Plays
2192,7,2793,A Christmas Carol,Plays
2193,7,2999,A Christmas Carol,Plays
2194,7,3012,A Christmas Carol,Plays
2195,7,3686,A Christmas Carol,Plays
2196,7,1817,A Doll's House,Plays
2197,7,1840,A Doll's House,Plays
2198,7,1895,A Doll's House,Plays
2199,7,1926,A Doll's House,Plays
2200,7,2033,A Doll's House,Plays
2201,7,2047,A Doll's House,Plays
2202,7,2148,A Doll's House,Plays
2203,7,2247,A Doll's House,Plays
2204,7,2276,A Doll's House,Plays
2205,7,2299,A Doll's House,Plays
2206,7,2377,A Doll's House,Plays
2207,7,2441,A Doll's House,Plays
2208,7,2444,A Doll's House,Plays
2209,7,2554,A Doll's House,Plays
2210,7,2750,A Doll's House,Plays
2211,7,2801,A Doll's House,Plays
2212,7,2885,A Doll's House,Plays
2213,7,2908,A Doll's House,Plays
2214,7,2918,A Doll's House,Plays
2215,7,2938,A Doll's House,Plays
2216,7,2986,A Doll's House,Plays
2217,7,2989,A Doll's House,Plays
2218,7,3060,A Doll's House,Plays
2219,7,3070,A Doll's House,Plays
2220,7,3118,A Doll's House,Plays
2221,7,3343,A Doll's House,Plays
2222,7,3369,A Doll's House,Plays
2223,7,3532,A Doll's House,Plays
2224,7,3605,A Doll's House,Plays
2225,7,3695,A Doll's House,Plays
2226,7,3714,A Doll's House,Plays
2227,7,1868,A Man For All Seasons,Plays
2228,7,2059,A Man For All Seasons,Plays
2229,7,2070,A Man For All Seasons,Plays
2230,7,2126,A Man For All Seasons,Plays
2231,7,2135,A Man For All Seasons,Plays
2232,7,2287,A Man For All Seasons,Plays
2233,7,2321,A Man For All Seasons,Plays
2234,7,2324,A Man For All Seasons,Plays
2235,7,2344,A Man For All Seasons,Plays
2236,7,2426,A Man For All Seasons,Plays
2237,7,2440,A Man For All Seasons,Plays
2238,7,2532,A Man For All Seasons,Plays
2239,7,2588,A Man For All Seasons,Plays
2240,7,2608,A Man For All Seasons,Plays
2241,7,2619,A Man For All Seasons,Plays
2242,7,2623,A Man For All Seasons,Plays
2243,7,2708,A Man For All Seasons,Plays
2244,7,2887,A Man For All Seasons,Plays
2245,7,2915,A Man For All Seasons,Plays
2246,7,2924,A Man For All Seasons,Plays
2247,7,2956,A Man For All Seasons,Plays
2248,7,2996,A Man For All Seasons,Plays
2249,7,3094,A Man For All Seasons,Plays
2250,7,3106,A Man For All Seasons,Plays
2251,7,3108,A Man For All Seasons,Plays
2252,7,3123,A Man For All Seasons,Plays
2253,7,3124,A Man For All Seasons,Plays
2254,7,3168,A Man For All Seasons,Plays
2255,7,3244,A Man For All Seasons,Plays
2256,7,3269,A Man For All Seasons,Plays
2257,7,3365,A Man For All Seasons,Plays
2258,7,3622,A Man For All Seasons,Plays
2259,7,1802,A Midsummer Night's Dream,Plays
2260,7,1807,A Midsummer Night's Dream,Plays
2261,7,1942,A Midsummer Night's Dream,Plays
2262,7,1967,A Midsummer Night's Dream,Plays
2263,7,1988,A Midsummer Night's Dream,Plays
2264,7,2086,A Midsummer Night's Dream,Plays
2265,7,2203,A Midsummer Night's Dream,Plays
2266,7,2298,A Midsummer Night's Dream,Plays
2267,7,2329,A Midsummer Night's Dream,Plays
2268,7,2408,A Midsummer Night's Dream,Plays
2269,7,2433,A Midsummer Night's Dream,Plays
2270,7,2478,A Midsummer Night's Dream,Plays
2271,7,2654,A Midsummer Night's Dream,Plays
2272,7,2719,A Midsummer Night's Dream,Plays
2273,7,2771,A Midsummer Night's Dream,Plays
2274,7,2823,A Midsummer Night's Dream,Plays
2275,7,2838,A Midsummer Night's Dream,Plays
2276,7,2866,A Midsummer Night's Dream,Plays
2277,7,3045,A Midsummer Night's Dream,Plays
2278,7,3115,A Midsummer Night's Dream,Plays
2279,7,3136,A Midsummer Night's Dream,Plays
2280,7,3165,A Midsummer Night's Dream,Plays
2281,7,3201,A Midsummer Night's Dream,Plays
2282,7,3260,A Midsummer Night's Dream,Plays
2283,7,3267,A Midsummer Night's Dream,Plays
2284,7,3328,A Midsummer Night's Dream,Plays
2285,7,3333,A Midsummer Night's Dream,Plays
2286,7,3424,A Midsummer Night's Dream,Plays
2287,7,3506,A Midsummer Night's Dream,Plays
2288,7,3561,A Midsummer Night's Dream,Plays
2289,7,3571,A Midsummer Night's Dream,Plays
2290,7,3600,A Midsummer Night's Dream,Plays
2291,7,3662,A Midsummer Night's Dream,Plays
2292,7,3763,A Midsummer Night's Dream,Plays
2293,7,1912,A Streetcar Named Desire,Plays
2294,7,2127,A Streetcar Named Desire,Plays
2295,7,2221,A Streetcar Named Desire,Plays
2296,7,2282,A Streetcar Named Desire,Plays
2297,7,2297,A Streetcar Named Desire,Plays
2298,7,2331,A Streetcar Named Desire,Plays
2299,7,2349,A Streetcar Named Desire,Plays
2300,7,2770,A Streetcar Named Desire,Plays
2301,7,2787,A Streetcar Named Desire,Plays
2302,7,2831,A Streetcar Named Desire,Plays
2303,7,2859,A Streetcar Named Desire,Plays
2304,7,2929,A Streetcar Named Desire,Plays
2305,7,3034,A Streetcar Named Desire,Plays
2306,7,3079,A Streetcar Named Desire,Plays
2307,7,3129,A Streetcar Named Desire,Plays
2308,7,3144,A Streetcar Named Desire,Plays
2309,7,3175,A Streetcar Named Desire,Plays
2310,7,3261,A Streetcar Named Desire,Plays
2311,7,3273,A Streetcar Named Desire,Plays
2312,7,3340,A Streetcar Named Desire,Plays
2313,7,3556,A Streetcar Named Desire,Plays
2314,7,3562,A Streetcar Named Desire,Plays
2315,7,3592,A Streetcar Named Desire,Plays
2316,7,3611,A Streetcar Named Desire,Plays
2317,7,3664,A Streetcar Named Desire,Plays
2318,7,3681,A Streetcar Named Desire,Plays
2319,7,3702,A Streetcar Named Desire,Plays
2320,7,3744,A Streetcar Named Desire,Plays
2321,7,1812,A Tale of Two Cities,Plays
2322,7,1874,A Tale of Two Cities,Plays
2323,7,1947,A Tale of Two Cities,Plays
2324,7,2093,A Tale of Two Cities,Plays
2325,7,2178,A Tale of Two Cities,Plays
2326,7,2199,A Tale of Two Cities,Plays
2327,7,2233,A Tale of Two Cities,Plays
2328,7,2368,A Tale of Two Cities,Plays
2329,7,2410,A Tale of Two Cities,Plays
2330,7,2453,A Tale of Two Cities,Plays
2331,7,2591,A Tale of Two Cities,Plays
2332,7,2673,A Tale of Two Cities,Plays
2333,7,2705,A Tale of Two Cities,Plays
2334,7,2769,A Tale of Two Cities,Plays
2335,7,2773,A Tale of Two Cities,Plays
2336,7,2777,A Tale of Two Cities,Plays
2337,7,2817,A Tale of Two Cities,Plays
2338,7,2949,A Tale of Two Cities,Plays
2339,7,2964,A Tale of Two Cities,Plays
2340,7,3042,A Tale of Two Cities,Plays
2341,7,3059,A Tale of Two Cities,Plays
2342,7,3107,A Tale of Two Cities,Plays
2343,7,3126,A Tale of Two Cities,Plays
2344,7,3239,A Tale of Two Cities,Plays
2345,7,3558,A Tale of Two Cities,Plays
2346,7,3626,A Tale of Two Cities,Plays
2347,7,3794,A Tale of Two Cities,Plays
2348,7,1956,All My Sons,Plays
2349,7,2031,All My Sons,Plays
2350,7,2292,All My Sons,Plays
2351,7,2312,All My Sons,Plays
2352,7,2313,All My Sons,Plays
2353,7,2364,All My Sons,Plays
2354,7,2473,All My Sons,Plays
2355,7,2498,All My Sons,Plays
2356,7,2614,All My Sons,Plays
2357,7,2672,All My Sons,Plays
2358,7,2720,All My Sons,Plays
2359,7,2745,All My Sons,Plays
2360,7,2760,All My Sons,Plays
2361,7,2784,All My Sons,Plays
2362,7,2896,All My Sons,Plays
2363,7,2946,All My Sons,Plays
2364,7,3164,All My Sons,Plays
2365,7,3166,All My Sons,Plays
2366,7,3182,All My Sons,Plays
2367,7,3349,All My Sons,Plays
2368,7,3457,All My Sons,Plays
2369,7,3513,All My Sons,Plays
2370,7,3536,All My Sons,Plays
2371,7,3609,All My Sons,Plays
2372,7,3787,All My Sons,Plays
2373,7,1805,As You Like It,Plays
2374,7,1915,As You Like It,Plays
2375,7,1975,As You Like It,Plays
2376,7,2022,As You Like It,Plays
2377,7,2048,As You Like It,Plays
2378,7,2112,As You Like It,Plays
2379,7,2229,As You Like It,Plays
2380,7,2337,As You Like It,Plays
2381,7,2540,As You Like It,Plays
2382,7,2578,As You Like It,Plays
2383,7,2637,As You Like It,Plays
2384,7,2675,As You Like It,Plays
2385,7,2684,As You Like It,Plays
2386,7,2765,As You Like It,Plays
2387,7,2783,As You Like It,Plays
2388,7,2856,As You Like It,Plays
2389,7,2860,As You Like It,Plays
2390,7,2897,As You Like It,Plays
2391,7,2932,As You Like It,Plays
2392,7,3015,As You Like It,Plays
2393,7,3160,As You Like It,Plays
2394,7,3190,As You Like It,Plays
2395,7,3209,As You Like It,Plays
2396,7,3210,As You Like It,Plays
2397,7,3266,As You Like It,Plays
2398,7,3410,As You Like It,Plays
2399,7,3427,As You Like It,Plays
2400,7,3432,As You Like It,Plays
2401,7,3462,As You Like It,Plays
2402,7,3570,As You Like It,Plays
2403,7,3574,As You Like It,Plays
2404,7,3671,As You Like It,Plays
2405,7,3706,As You Like It,Plays
2406,7,1837,August: Osage County,Plays
2407,7,1861,August: Osage County,Plays
2408,7,2062,August: Osage County,Plays
2409,7,2066,August: Osage County,Plays
2410,7,2245,August: Osage County,Plays
2411,7,2332,August: Osage County,Plays
2412,7,2522,August: Osage County,Plays
2413,7,2533,August: Osage County,Plays
2414,7,2650,August: Osage County,Plays
2415,7,2703,August: Osage County,Plays
2416,7,2735,August: Osage County,Plays
2417,7,2834,August: Osage County,Plays
2418,7,2852,August: Osage County,Plays
2419,7,2858,August: Osage County,Plays
2420,7,2873,August: Osage County,Plays
2421,7,2905,August: Osage County,Plays
2422,7,2955,August: Osage County,Plays
2423,7,3004,August: Osage County,Plays
2424,7,3137,August: Osage County,Plays
2425,7,3155,August: Osage County,Plays
2426,7,3196,August: Osage County,Plays
2427,7,3238,August: Osage County,Plays
2428,7,3418,August: Osage County,Plays
2429,7,3435,August: Osage County,Plays
2430,7,3445,August: Osage County,Plays
2431,7,3484,August: Osage County,Plays
2432,7,3645,August: Osage County,Plays
2433,7,3728,August: Osage County,Plays
2434,7,3743,August: Osage County,Plays
2435,7,3754,August: Osage County,Plays
2436,7,1919,Avenue Q,Plays
2437,7,1946,Avenue Q,Plays
2438,7,1965,Avenue Q,Plays
2439,7,1986,Avenue Q,Plays
2440,7,2125,Avenue Q,Plays
2441,7,2137,Avenue Q,Plays
2442,7,2140,Avenue Q,Plays
2443,7,2219,Avenue Q,Plays
2444,7,2243,Avenue Q,Plays
2445,7,2249,Avenue Q,Plays
2446,7,2306,Avenue Q,Plays
2447,7,2311,Avenue Q,Plays
2448,7,2365,Avenue Q,Plays
2449,7,2517,Avenue Q,Plays
2450,7,2539,Avenue Q,Plays
2451,7,2553,Avenue Q,Plays
2452,7,2620,Avenue Q,Plays
2453,7,2755,Avenue Q,Plays
2454,7,2781,Avenue Q,Plays
2455,7,2882,Avenue Q,Plays
2456,7,2963,Avenue Q,Plays
2457,7,2966,Avenue Q,Plays
2458,7,2998,Avenue Q,Plays
2459,7,3010,Avenue Q,Plays
2460,7,3281,Avenue Q,Plays
2461,7,3299,Avenue Q,Plays
2462,7,3319,Avenue Q,Plays
2463,7,3364,Avenue Q,Plays
2464,7,3455,Avenue Q,Plays
2465,7,3489,Avenue Q,Plays
2466,7,3524,Avenue Q,Plays
2467,7,3539,Avenue Q,Plays
2468,7,3614,Avenue Q,Plays
2469,7,3624,Avenue Q,Plays
2470,7,3631,Avenue Q,Plays
2471,7,3690,Avenue Q,Plays
2472,7,3741,Avenue Q,Plays
2473,7,1826,Cirque du Soleil,Plays
2474,7,1857,Cirque du Soleil,Plays
2475,7,1875,Cirque du Soleil,Plays
2476,7,1897,Cirque du Soleil,Plays
2477,7,2102,Cirque du Soleil,Plays
2478,7,2177,Cirque du Soleil,Plays
2479,7,2212,Cirque du Soleil,Plays
